"Date","Price","Open","High","Low","Change %"
"Oct 30, 2019","10.7071","10.7304","10.7548","10.7025","-0.15%"
"Oct 29, 2019","10.7227","10.7180","10.7360","10.6663","-0.03%"
"Oct 28, 2019","10.7256","10.7925","10.7925","10.7172","-0.54%"
"Oct 25, 2019","10.7843","10.8221","10.8284","10.7676","-0.33%"
"Oct 24, 2019","10.8200","10.7609","10.8227","10.7424","0.46%"
"Oct 23, 2019","10.7702","10.8144","10.8712","10.7677","-0.40%"
"Oct 22, 2019","10.8134","10.8036","10.8242","10.7649","0.16%"
"Oct 21, 2019","10.7959","10.8603","10.8915","10.7581","-0.71%"
"Oct 18, 2019","10.8726","10.8550","10.9004","10.8490","0.20%"
"Oct 17, 2019","10.8505","10.9030","10.9333","10.7918","-0.53%"
"Oct 16, 2019","10.9084","10.8938","10.9643","10.8812","0.22%"
"Oct 15, 2019","10.8849","10.9210","10.9684","10.8721","-0.40%"
"Oct 14, 2019","10.9284","10.9243","10.9841","10.9016","0.11%"
"Oct 11, 2019","10.9162","11.0242","11.0610","10.8511","-0.99%"
"Oct 10, 2019","11.0253","11.1514","11.2159","11.0188","-1.13%"
"Oct 09, 2019","11.1515","11.2061","11.2241","11.1331","-0.49%"
"Oct 08, 2019","11.2062","11.1593","11.2303","11.1071","0.42%"
"Oct 07, 2019","11.1593","11.1481","11.2294","11.1319","0.10%"
"Oct 04, 2019","11.1483","11.2416","11.2652","11.1483","-0.83%"
