"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 12, 2020","124,070","124,085","124,215","123,940","5.52K","-0.07%"
"Feb 11, 2020","124,155","124,155","124,350","124,075","7.66K","0.00%"
"Feb 10, 2020","124,150","124,450","124,450","124,145","15.31K","-0.01%"
"Feb 07, 2020","124,160","123,985","124,305","123,985","2.49K","0.23%"
"Feb 06, 2020","123,880","124,075","124,130","123,700","23.69K","-0.11%"
"Feb 05, 2020","124,020","123,860","124,135","123,655","12.70K","0.07%"
"Feb 04, 2020","123,935","124,565","124,565","123,935","18.01K","-0.61%"
"Feb 03, 2020","124,695","124,535","125,075","124,535","7.45K","0.13%"
"Jan 31, 2020","124,535","124,450","124,595","124,300","8.53K","-0.08%"
"Jan 30, 2020","124,635","124,515","124,815","124,475","14.62K","0.35%"
"Jan 29, 2020","124,195","124,050","124,225","123,840","7.68K","-0.00%"
"Jan 28, 2020","124,200","123,955","124,370","123,715","20.60K","1.05%"
"Jan 23, 2020","122,910","122,930","123,205","122,850","6.66K","0.07%"
"Jan 22, 2020","122,820","123,040","123,040","122,700","18.32K","-0.20%"
"Jan 21, 2020","123,065","122,280","123,065","122,240","31.63K","0.54%"
"Jan 20, 2020","122,400","122,315","122,420","122,125","22.06K","-0.04%"
"Jan 17, 2020","122,455","122,800","122,865","122,350","9.48K","-0.21%"
"Jan 16, 2020","122,715","122,775","123,135","122,715","81.14K","-0.05%"
"Jan 15, 2020","122,775","122,680","122,920","122,605","99.07K","0.14%"
"Jan 14, 2020","122,605","122,355","122,605","122,225","63.24K","0.20%"
"Jan 13, 2020","122,355","122,500","122,665","122,195","105.77K","-0.02%"
"Jan 10, 2020","122,380","122,990","122,990","122,370","5.07K","-0.34%"
"Jan 09, 2020","122,800","123,340","123,340","122,790","69.33K","-0.45%"
"Jan 08, 2020","123,360","123,845","123,940","123,360","8.68K","-0.19%"
"Jan 07, 2020","123,590","124,370","124,370","123,500","19.21K","-0.62%"
"Jan 06, 2020","124,360","124,255","124,520","124,155","87.05K","0.27%"
"Jan 03, 2020","124,030","123,340","124,090","123,340","55.64K","0.60%"
"Jan 02, 2020","123,285","122,925","123,455","122,765","45.51K","0.21%"
"Dec 30, 2019","123,030","123,085","123,155","122,790","5.40K","-0.04%"
"Dec 27, 2019","123,085","127,880","127,880","122,995","11.33K","-2.46%"
"Dec 26, 2019","126,190","126,270","126,350","126,055","5.96K","-0.06%"
"Dec 24, 2019","126,265","126,095","126,300","125,935","7.37K","0.16%"
"Dec 23, 2019","126,060","125,905","126,140","125,850","3.36K","0.20%"
"Dec 20, 2019","125,810","126,010","126,100","125,595","22.82K","-0.18%"
"Dec 19, 2019","126,040","126,425","126,425","125,920","15.39K","-0.38%"
"Dec 18, 2019","126,525","126,390","126,525","126,280","1.81K","0.04%"
"Dec 17, 2019","126,480","126,605","126,700","126,405","7.54K","0.10%"
"Dec 16, 2019","126,355","126,110","126,425","126,110","4.69K","0.23%"
